# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	82628
#@/user_id	mac_double_pinyin_fly
biao da shi 	表達式	c=1 d=1.33271e-26 t=82628
biao ge 	表格	c=7 d=3.11345e-06 t=82628
biao hong 	標紅	c=1 d=3.25139e-48 t=82628
biao ji 	標記	c=1 d=1.31386e-123 t=82628
biao qing 	表情	c=1 d=7.13809e-64 t=82628
biao shi 	表示	c=2 d=3.82022e-33 t=82628
biao ti 	標題	c=4 d=5.15104e-10 t=82628
biao tou 	表頭	c=1 d=2.91231e-17 t=82628
biao xian 	表現	c=3 d=2.52445e-12 t=82628
biao yan 	表演	c=3 d=4.29616e-32 t=82628
biao yang 	表揚	c=1 d=8.19933e-77 t=82628
biao zhun 	標準	c=1 d=8.15479e-13 t=82628
biao zhun cha 	標準差	c=1 d=1.6331e-35 t=82628
bie 	別	c=14 d=5.40917e-07 t=82628
bie 	憋	c=1 d=9.70155e-115 t=82628
bie 	鱉	c=1 d=6.9097e-05 t=82628
bie de 	別的	c=2 d=1.49488e-24 t=82628
bie ren 	別人	c=3 d=4.11732e-24 t=82628
bie shang 	別上	c=1 d=4.49238e-28 t=82628
bie shu 	別墅	c=2 d=1.78598e-29 t=82628
bin 	賓	c=2 d=4.72608e-07 t=82628
bin 	鑌	c=1 d=5.6865e-07 t=82628
bing 	並	c=37 d=0.424618 t=82628
bing 	兵	c=5 d=1.30852e-05 t=82628
bing 	冰	c=17 d=1.77345e-05 t=82628
bing 	炳	c=1 d=8.68443e-18 t=82628
bing 	病	c=4 d=4.98729e-07 t=82628
bing 	餅	c=3 d=9.56974e-13 t=82628
bing bu 	並不	c=0 d=3.25063e-105 t=82628
bing bu shi 	並不是	c=3 d=1.00639e-16 t=82628
bing bu xi qi 	並不稀奇	c=1 d=7.54193e-35 t=82628
bing bu ying gai 	並不應該	c=1 d=1.56772e-25 t=82628
bing bu zhi guan 	並不直觀	c=1 d=3.26693e-104 t=82628
bing cheng 	病程	c=2 d=0.0119145 t=82628
bing du 	病毒	c=2 d=1.15963e-07 t=82628
bing li 	病例	c=1 d=3.06694e-08 t=82628
bing lie 	並列	c=1 d=5.25254e-73 t=82628
bing mei you 	並沒有	c=3 d=3.36331e-05 t=82628
bing qie 	並且	c=12 d=3.12029e-05 t=82628
bing tie sha 	病鐵砂	c=1 d=5.65814e-07 t=82628
bing xiang 	冰箱	c=3 d=4.4384e-21 t=82628
bing xing 	並行	c=2 d=2.73113e-108 t=82628
bing zhen 	冰鎮	c=3 d=0.00105945 t=82628
bo 	伯	c=2 d=6.50509e-08 t=82628
bo 	博	c=1 d=5.27527e-65 t=82628
bo 	播	c=6 d=1.06062e-38 t=82628
bo 	泊	c=1 d=0.0300467 t=82628
bo 	波	c=1 d=6.23242e-56 t=82628
bo 	薄	c=1 d=4.40807e-11 t=82628
bo de 	博得	c=0 d=2.25756e-22 t=82628
bo de 	博德	c=4 d=3.02236e-05 t=82628
bo de zhi men 	博得之門	c=1 d=2.26888e-21 t=82628
bo duo 	剝奪	c=2 d=1.63763e-96 t=82628
bo fang 	播放	c=4 d=3.34768e-09 t=82628
bo feng 	波峯	c=1 d=1.08495e-18 t=82628
bo gu 	博古	c=0 d=2.92265e-89 t=82628
bo gu 	波谷	c=1 d=1.09038e-18 t=82628
bo gu jia 	博古架	c=1 d=2.93729e-88 t=82628
bo hai 	渤海	c=1 d=2.67746e-116 t=82628
bo hu 	伯虎	c=1 d=1.08731e-73 t=82628
bo jue 	鉑珏	c=1 d=3.95361e-25 t=82628
bo ke 	博客	c=2 d=1.23101e-15 t=82628
bo ke 	播客	c=2 d=2.46437e-15 t=82628
bo lang 	波浪	c=0 d=4.79459e-89 t=82628
bo lang xian 	波浪綫	c=1 d=4.81862e-88 t=82628
bo li 	剝離	c=1 d=1.67587e-45 t=82628
bo li 	玻璃	c=1 d=3.84251e-72 t=82628
bo luo 	菠蘿	c=3 d=6.74079e-08 t=82628
bo shi 	博士	c=1 d=3.41646e-13 t=82628
bo wu guan 	博物館	c=1 d=1.57125e-22 t=82628
bo yin 	波音	c=1 d=3.65721e-20 t=82628
bo zi 	脖子	c=3 d=1.34459e-05 t=82628
bu 	不	c=213 d=0.43881 t=82628
bu 	布	c=1 d=4.64197e-32 t=82628
bu 	步	c=5 d=4.8449e-05 t=82628
bu 	補	c=9 d=0.0577439 t=82628
bu 	部	c=3 d=0.489193 t=82628
bu ba 	不把	c=1 d=2.48771e-16 t=82628
bu can jia 	不參加	c=4 d=0.00348252 t=82628
bu chang 	不長	c=1 d=1.06952e-26 t=82628
bu cheng gong 	不成功	c=3 d=0.00522134 t=82628
bu chong 	補充	c=5 d=2.34364e-20 t=82628
bu chong dian 	不充電	c=1 d=1.80418e-60 t=82628
bu chong tu 	不衝突	c=1 d=2.96348e-16 t=82628
bu chou 	不愁	c=1 d=2.58035e-05 t=82628
bu chu 	不出	c=1 d=0.0300467 t=82628
bu chu lai 	不出來	c=2 d=1.73981e-15 t=82628
bu chuan 	不穿	c=1 d=6.08722e-14 t=82628
bu cun zai 	不存在	c=4 d=0.000120966 t=82628
bu cuo 	不錯	c=25 d=0.0131676 t=82628
bu da 	不大	c=29 d=0.586009 t=82628
bu dai 	不帶	c=4 d=2.27282e-12 t=82628
bu dao 	不到	c=10 d=0.0291587 t=82628
bu dao 	佈道	c=0 d=1.29298e-112 t=82628
bu dao zhe 	佈道者	c=1 d=1.29946e-111 t=82628
bu de 	不得	c=1 d=4.32432e-50 t=82628
bu deng 	補登	c=1 d=1.2917e-70 t=82628
bu ding 	不定	c=1 d=6.08496e-39 t=82628
bu ding 	補丁	c=5 d=0.0277835 t=82628
bu ding qi 	不定期	c=1 d=5.88286e-24 t=82628
bu dong 	不動	c=1 d=1.92541e-31 t=82628
bu dong 	不懂	c=2 d=7.95023e-67 t=82628
bu dou shi 	不都是	c=1 d=1.45069e-24 t=82628
